split,subgroup_type,subgroup_value,rows,repositories,accepted_count,accepted_high_count,high_workload_rate,acceptance_rate,accepted_high_workload_rate,risk_over_budget,accepted_risk_over_budget_raw,risk_flag_note,high_workload_recall_by_abstention,workload_share_abstained,auc
temporal,feature_task_type,build,143,44,131,9,0.09090909090909091,0.916083916083916,0.06870229007633588,False,False,enough accepted rows,0.3076923076923077,0.23076923076923078,0.7455621301775147
temporal,feature_task_type,chore,128,52,91,9,0.15625,0.7109375,0.0989010989010989,False,False,enough accepted rows,0.55,0.5316455696202531,0.7787037037037037
temporal,feature_task_type,ci,100,27,90,4,0.07,0.9,0.044444444444444446,False,False,enough accepted rows,0.42857142857142855,0.37815126050420167,0.8387096774193548
temporal,initial_churn_bucket,51-250,2298,225,2159,129,0.08790252393385553,0.9395126196692777,0.05974988420565076,False,False,enough accepted rows,0.3613861386138614,0.3522137026960178,0.9209881150328774
temporal,initial_churn_bucket,1-50,1740,248,1618,95,0.09195402298850575,0.9298850574712644,0.05871446229913473,False,False,enough accepted rows,0.40625,0.3491466589528493,0.8860957278481013
temporal,initial_churn_bucket,251-1000,1108,144,1032,47,0.0812274368231047,0.9314079422382672,0.045542635658914726,False,False,enough accepted rows,0.4777777777777778,0.4453865336658354,0.9453285308884523
temporal,initial_churn_bucket,0,951,361,277,132,0.47108307045215564,0.2912723449001052,0.47653429602888087,True,True,enough accepted rows,0.7053571428571429,0.7185687516730614,0.5186470462936665
temporal,initial_churn_bucket,>1000,623,74,571,16,0.08186195826645265,0.9165329052969502,0.028021015761821366,False,False,enough accepted rows,0.6862745098039216,0.6471531676022454,0.9673659673659674
temporal,repo_language,Go,3548,59,3535,50,0.016910935738444193,0.9963359639233371,0.014144271570014143,False,False,enough accepted rows,0.16666666666666666,0.24408540103866128,0.9480217889908256
temporal,repo_language,Python,945,152,844,81,0.13333333333333333,0.8931216931216931,0.09597156398104266,False,False,enough accepted rows,0.35714285714285715,0.4257100149476831,0.8562707134135706
temporal,repo_language,TypeScript,740,184,335,103,0.4391891891891892,0.4527027027027027,0.3074626865671642,True,True,enough accepted rows,0.683076923076923,0.6859047309380588,0.6499944392956442
temporal,repo_language,C#,419,70,247,16,0.26252983293556087,0.5894988066825776,0.06477732793522267,False,False,enough accepted rows,0.8545454545454545,0.8478769642260113,0.8656957928802589
temporal,repo_language,Rust,148,50,64,13,0.31756756756756754,0.43243243243243246,0.203125,True,True,enough accepted rows,0.723404255319149,0.6851025869759143,0.6911733726564147
