split,subgroup_type,subgroup_value,rows,repositories,high_count,accepted_count,accepted_high_count,risk_budget,score_threshold,eligible_for_auc,accepted_risk_over_budget_raw,risk_over_budget,risk_flag_note,auc,average_precision,brier,high_workload_rate,acceptance_rate,accepted_high_workload_rate,high_workload_recall_by_abstention,abstention_precision_for_high_workload,mean_workload_accepted,mean_workload_abstained,workload_share_abstained
temporal,initial_churn_bucket,251-1000,1108,144,90,1032,47,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.9453285308884523,0.5242056134033549,0.06529120918216826,0.0812274368231047,0.9314079422382672,0.045542635658914726,0.4777777777777778,0.5657894736842105,1.0775193798449612,11.75,0.4453865336658354
temporal,initial_churn_bucket,0,951,361,448,277,132,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.5186470462936665,0.48640481887003095,0.37116456959382266,0.47108307045215564,0.2912723449001052,0.47653429602888087,0.7053571428571429,0.4688427299703264,11.386281588447654,11.94807121661721,0.7185687516730614
temporal,initial_churn_bucket,>1000,623,74,51,571,16,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.9673659673659674,0.6362966037455609,0.057053507102609216,0.08186195826645265,0.9165329052969502,0.028021015761821366,0.6862745098039216,0.6730769230769231,0.7705779334500875,15.51923076923077,0.6471531676022454
temporal,repo_language,Go,3548,59,60,3535,50,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.9480217889908256,0.5940809769222006,0.019403476230088836,0.016910935738444193,0.9963359639233371,0.014144271570014143,0.16666666666666666,0.7692307692307693,0.37057991513437055,32.53846153846154,0.24408540103866128
temporal,repo_language,Python,945,152,126,844,81,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.8562707134135706,0.42309173082544266,0.13198952226780003,0.13333333333333333,0.8931216931216931,0.09597156398104266,0.35714285714285715,0.44554455445544555,2.2760663507109005,14.099009900990099,0.4257100149476831
temporal,repo_language,TypeScript,740,184,325,335,103,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.6499944392956442,0.538559225470017,0.3087747314100161,0.4391891891891892,0.4527027027027027,0.3074626865671642,0.683076923076923,0.5481481481481482,5.767164179104477,10.417283950617284,0.6859047309380588
temporal,repo_language,C#,419,70,110,247,16,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.8656957928802589,0.6331051222292604,0.20108583757011972,0.26252983293556087,0.5894988066825776,0.06477732793522267,0.8545454545454545,0.5465116279069767,1.8421052631578947,14.744186046511627,0.8478769642260113
temporal,repo_language,Rust,148,50,47,64,13,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.6911733726564147,0.5057169625198626,0.3222100109333925,0.31756756756756754,0.43243243243243246,0.203125,0.723404255319149,0.40476190476190477,5.515625,9.142857142857142,0.6851025869759143
temporal,repo_language,JavaScript,143,50,34,79,22,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.5337290879654615,0.26581089367179805,0.38822434172286924,0.23776223776223776,0.5524475524475524,0.27848101265822783,0.35294117647058826,0.1875,6.253164556962025,5.65625,0.42289719626168226
temporal,repo_language,HTML,134,14,18,130,17,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.7432950191570881,0.38912330949881996,0.10190060040039317,0.13432835820895522,0.9701492537313433,0.13076923076923078,0.05555555555555555,0.25,3.2846153846153845,4.75,0.042600896860986545
temporal,repo_language,Java,110,23,54,82,37,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.6134259259259259,0.6030484866706112,0.28332402897812375,0.4909090909090909,0.7454545454545455,0.45121951219512196,0.3148148148148148,0.6071428571428571,9.74390243902439,15.571428571428571,0.35303643724696354
temporal,repo_star_bucket,101-1000,5350,416,414,4900,190,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.9385173701641883,0.4908112897335112,0.07261245529224905,0.07738317757009346,0.9158878504672897,0.03877551020408163,0.5410628019323671,0.49777777777777776,0.9720408163265306,11.586666666666666,0.5226019845644984
temporal,repo_star_bucket,>1000,1370,345,537,757,229,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.6506870904786496,0.49881689665315965,0.3000614943244946,0.39197080291970804,0.5525547445255474,0.30250990752972257,0.5735567970204841,0.5024469820554649,6.35667107001321,11.69657422512235,0.5983975963945919
repository_disjoint,agent,OpenAI_Codex,1577,233,160,1066,72,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.7045651023288638,0.24713407238869567,0.13007462712267134,0.10145846544071022,0.6759670259987318,0.0675422138836773,0.55,0.17221135029354206,1.2082551594746718,3.1702544031311155,0.5570839064649243
repository_disjoint,agent,Copilot,982,213,540,7,6,0.1,0.3569324379046899,True,True,False,low accepted rows,0.4931121166415284,0.5449910314508031,0.33953551020589157,0.5498981670061099,0.007128309572301426,0.8571428571428571,0.9888888888888889,0.5476923076923077,14.428571428571429,12.522051282051281,0.9917952883834281
repository_disjoint,agent,Devin,572,56,309,2,2,0.1,0.3569324379046899,True,True,False,low accepted rows,0.5152706510637775,0.5415906895451816,0.34690728831126066,0.5402097902097902,0.0034965034965034965,1.0,0.9935275080906149,0.5385964912280702,8.5,9.466666666666667,0.9968594125254018
repository_disjoint,agent,Cursor,261,60,103,12,6,0.1,0.3569324379046899,True,True,False,low accepted rows,0.6343861373970751,0.5886953464183584,0.34509701207069604,0.3946360153256705,0.04597701149425287,0.5,0.941747572815534,0.3895582329317269,7.25,6.502008032128514,0.9490035169988277
repository_disjoint,feature_task_type,feat,1270,318,484,325,26,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.7695098101066178,0.6184055022285035,0.24263340191383223,0.38110236220472443,0.2559055118110236,0.08,0.9462809917355371,0.4846560846560847,1.643076923076923,10.082539682539682,0.9469290399522957
repository_disjoint,feature_task_type,fix,1136,317,326,411,29,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.7606528819207755,0.48444522661589545,0.24612846962804893,0.2869718309859155,0.3617957746478873,0.0705596107055961,0.911042944785276,0.4096551724137931,1.194647201946472,7.438620689655172,0.9165533650577838
repository_disjoint,feature_task_type,docs,415,127,134,160,7,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.806249004089871,0.5777503382081787,0.2199268799368277,0.3228915662650602,0.3855421686746988,0.04375,0.9477611940298507,0.4980392156862745,0.86875,11.388235294117647,0.954321393361814
repository_disjoint,feature_task_type,refactor,259,97,79,71,5,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.7905766526019691,0.5438901047654641,0.24034180441359748,0.305019305019305,0.27413127413127414,0.07042253521126761,0.9367088607594937,0.39361702127659576,1.0845070422535212,8.196808510638299,0.9524103831891224
repository_disjoint,feature_task_type,test,135,70,44,51,6,0.1,0.3569324379046899,True,True,True,enough accepted rows,0.7337662337662336,0.48124575160566474,0.2381147030949797,0.32592592592592595,0.37777777777777777,0.11764705882352941,0.8636363636363636,0.4523809523809524,2.156862745098039,11.428571428571429,0.897196261682243
repository_disjoint,initial_churn_bucket,1-50,1231,254,215,660,38,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.8168238417872185,0.4917622186574407,0.19253581882143708,0.17465475223395613,0.5361494719740049,0.05757575757575758,0.8232558139534883,0.30998248686514884,0.9863636363636363,5.740805604203152,0.8343089844744209
repository_disjoint,initial_churn_bucket,0,972,217,524,6,5,0.1,0.3569324379046899,True,True,False,low accepted rows,0.4871225804253,0.5240976906330639,0.3464922796413347,0.5390946502057613,0.006172839506172839,0.8333333333333334,0.9904580152671756,0.5372670807453416,11.5,12.376811594202898,0.9942619542619543
repository_disjoint,initial_churn_bucket,51-250,870,195,245,338,32,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.7929175510204083,0.5662505302500274,0.20299021155268557,0.28160919540229884,0.38850574712643676,0.09467455621301775,0.8693877551020408,0.40037593984962405,1.6715976331360947,6.992481203007519,0.868144690781797
repository_disjoint,initial_churn_bucket,251-1000,291,121,113,68,9,0.1,0.3569324379046899,True,True,True,enough accepted rows,0.7327234761857413,0.5920135131943536,0.2607772704832791,0.38831615120274915,0.23367697594501718,0.1323529411764706,0.9203539823008849,0.4663677130044843,2.176470588235294,6.955156950672646,0.912889935256033
repository_disjoint,initial_churn_bucket,>1000,118,62,60,17,2,0.1,0.3569324379046899,True,True,False,low accepted rows,0.7022988505747126,0.7020088523792983,0.2617063539436474,0.5084745762711864,0.1440677966101695,0.11764705882352941,0.9666666666666667,0.5742574257425742,3.764705882352941,11.227722772277227,0.9465776293823038
repository_disjoint,repo_language,TypeScript,681,115,244,165,15,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.7244063473008966,0.5478772614557366,0.29457728915117315,0.35829662261380324,0.2422907488986784,0.09090909090909091,0.9385245901639344,0.4437984496124031,1.4787878787878788,7.381782945736434,0.9397976807303232
repository_disjoint,repo_language,Python,608,111,120,375,22,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.8148394808743169,0.4646189148852543,0.17762995488781258,0.19736842105263158,0.6167763157894737,0.058666666666666666,0.8166666666666667,0.4206008583690987,1.4266666666666667,9.416309012875537,0.8039574935873947
repository_disjoint,repo_language,C#,373,54,239,21,1,0.1,0.3569324379046899,True,False,False,low accepted rows,0.6721101604945983,0.728358968452137,0.22088961479212432,0.6407506702412868,0.05630026809651475,0.047619047619047616,0.99581589958159,0.6761363636363636,0.7619047619047619,16.43465909090909,0.9972418548526116
repository_disjoint,repo_language,Kotlin,245,8,5,93,1,0.1,0.3569324379046899,True,False,False,enough accepted rows,0.7933333333333333,0.22228152799581372,0.16485255380849909,0.02040816326530612,0.3795918367346939,0.010752688172043012,0.8,0.02631578947368421,0.1935483870967742,0.7763157894736842,0.8676470588235294
repository_disjoint,repo_language,JavaScript,232,41,109,1,0,0.1,0.3569324379046899,True,False,False,low accepted rows,0.5498247184306706,0.5091709019585614,0.40248229772958183,0.4698275862068966,0.004310344827586207,0.0,1.0,0.47186147186147187,0.0,8.86147186147186,1.0
repository_disjoint,repo_language,Go,222,37,126,58,20,0.1,0.3569324379046899,True,True,True,enough accepted rows,0.675760582010582,0.6683208344635234,0.23119501588235988,0.5675675675675675,0.26126126126126126,0.3448275862068966,0.8412698412698413,0.6463414634146342,4.931034482758621,13.74390243902439,0.8874015748031496
