dataset,controller,headroom_bin,mean_certified_headroom,mean_exact_headroom,exact_headroom_positive_rate,benchmark_safe_rate,outside_safe_rate,negative_drift_rate,mean_drift,rows
smith,camc_rsrc_anchor,"(0.03,0.08]",0.05838344258527655,0.17316269310668908,1.0,0.25675675675675674,0.9864864864864865,1.0,-0.2267055639866491,74
smith,camc_rsrc_anchor,"(0.08,0.15]",0.11534698690861711,0.21932089166176214,1.0,0.33088235294117646,0.8823529411764706,1.0,-0.2624215938674417,136
smith,camc_rsrc_anchor,>0.15,0.18621449044664998,0.272813281701964,1.0,0.43333333333333335,0.7416666666666667,1.0,-0.30301688747601335,120
smith,camc_sempc_candidate,<=0,-0.26401674328841523,-0.16816140901906437,0.2206896551724138,0.10344827586206896,1.0,0.45517241379310347,0.07354235219762432,145
smith,camc_sempc_candidate,"(0,0.03]",0.016160537043501,0.13505990623477485,1.0,0.24,1.0,1.0,-0.19701147187940546,25
smith,camc_sempc_candidate,"(0.03,0.08]",0.05838344258527655,0.17316269310668908,1.0,0.25675675675675674,0.9864864864864865,1.0,-0.2267055639866491,74
smith,camc_sempc_candidate,"(0.08,0.15]",0.11534698690861711,0.21932089166176214,1.0,0.33088235294117646,0.8823529411764706,1.0,-0.2624215938674417,136
smith,camc_sempc_candidate,>0.15,0.18621449044664998,0.272813281701964,1.0,0.43333333333333335,0.7416666666666667,1.0,-0.30301688747601335,120
smith,camc_static_anchor,<=0,-0.26569973786579554,-0.17026227695015347,0.2097902097902098,0.1048951048951049,1.0,0.46153846153846156,0.07672985085698776,143
smith,camc_static_anchor,"(0,0.03]",0.016156250968239916,0.13572210777769503,1.0,0.2,1.0,1.0,-0.20031185643634977,25
smith,camc_static_anchor,"(0.03,0.08]",0.05972409147542398,0.1729977335725612,1.0,0.25333333333333335,1.0,1.0,-0.2245123736923423,75
smith,camc_static_anchor,"(0.08,0.15]",0.11518672323134391,0.21922516889673102,1.0,0.22033898305084745,0.923728813559322,1.0,-0.25101392400508693,118
smith,camc_static_anchor,>0.15,0.18791631666728842,0.2766615183949004,1.0,0.49640287769784175,0.6546762589928058,1.0,-0.300502398572214,139
smith,greedy_myopic,<=0,-0.27259056072052845,-0.17278398619169463,0.37037037037037035,0.07407407407407407,1.0,0.6157407407407407,-0.014793528732849184,216
smith,greedy_myopic,"(0,0.03]",0.016029124657901288,0.13359574776790703,1.0,0.13636363636363635,1.0,1.0,-0.24154142333784687,44
smith,greedy_myopic,"(0.03,0.08]",0.055425152747593395,0.16967326300720353,1.0,0.16883116883116883,0.987012987012987,1.0,-0.2671659850913213,77
smith,greedy_myopic,"(0.08,0.15]",0.11483535862065745,0.21312026577341175,1.0,0.2892561983471074,0.9173553719008265,1.0,-0.3058113416956216,121
smith,greedy_myopic,>0.15,0.17511444446760882,0.26028852546233644,1.0,0.40476190476190477,0.6904761904761905,1.0,-0.34604082489905896,42
smith,headroom_only,<=0,-0.262542361315584,-0.17836719267431622,0.18705035971223022,0.09352517985611511,1.0,0.4316546762589928,0.08465782886901568,139
smith,headroom_only,"(0,0.03]",0.015183330492242167,0.12197847011777764,1.0,0.23529411764705882,1.0,1.0,-0.1929991211489139,17
smith,headroom_only,"(0.03,0.08]",0.058650433547213617,0.15817647490011127,1.0,0.24242424242424243,0.9848484848484849,1.0,-0.21438997229185341,66
smith,headroom_only,"(0.08,0.15]",0.11742718724701877,0.21545779352110866,1.0,0.22962962962962963,0.8888888888888888,1.0,-0.25462706660975953,135
smith,headroom_only,>0.15,0.19290580171235838,0.26907478671417934,1.0,0.38461538461538464,0.7412587412587412,1.0,-0.2994780072874487,143
smith,maxweight_backlog,<=0,-0.26596925621472495,-0.17053275951908187,0.2097902097902098,0.0979020979020979,1.0,0.44755244755244755,0.07732230697748942,143
smith,maxweight_backlog,"(0,0.03]",0.015934808847041806,0.13550090178052046,1.0,0.16,1.0,1.0,-0.1998880246384373,25
smith,maxweight_backlog,"(0.03,0.08]",0.0594146620337631,0.17268893186845702,1.0,0.24,1.0,1.0,-0.22392196988637403,75
smith,maxweight_backlog,"(0.08,0.15]",0.11652875448197375,0.22252424152979677,1.0,0.2265625,0.875,1.0,-0.2587803976733369,128
smith,maxweight_backlog,>0.15,0.18680388355471617,0.27340695561687,1.0,0.43410852713178294,0.7209302325581395,1.0,-0.30219871817079785,129
smith,minimal_verify,<=0,-0.4493778960306042,-0.355316682426201,0.01609657947686117,0.004024144869215292,1.0,0.0482897384305835,0.24326934824032184,497
smith,minimal_verify,"(0.03,0.08]",0.03633945526931681,0.2402746273071774,1.0,0.0,1.0,1.0,-0.3741152847308364,1
smith,minimal_verify,"(0.08,0.15]",0.10282327461356469,0.31508573147681007,1.0,1.0,0.0,1.0,-0.4833204896783828,2
smith,oracle_src,<=0,-0.2540300270294517,-0.2540300270294517,0.0,0.0625,1.0,0.2857142857142857,0.14965248910851264,112
smith,oracle_src,"(0,0.03]",0.01251978583536754,0.01251978583536754,1.0,0.16666666666666666,1.0,1.0,-0.12781783103092303,6
smith,oracle_src,"(0.03,0.08]",0.05891231261948163,0.05891231261948163,1.0,0.3125,1.0,1.0,-0.1426926297494346,16
smith,oracle_src,"(0.08,0.15]",0.12122641093378232,0.12122641093378232,1.0,0.4268292682926829,0.6707317073170732,1.0,-0.20692559961350754,82
smith,oracle_src,>0.15,0.22048442197668797,0.22048442197668797,1.0,0.45422535211267606,0.5387323943661971,1.0,-0.2872497528605435,284
smith,pareto_camc_rsrc_anchor,<=0,-0.26550079448381136,-0.170063038999601,0.2097902097902098,0.0979020979020979,1.0,0.46153846153846156,0.0766726899001037,143
smith,pareto_camc_rsrc_anchor,"(0,0.03]",0.016154452700861858,0.1357203217414418,1.0,0.2,1.0,1.0,-0.2003065845599176,25
smith,pareto_camc_rsrc_anchor,"(0.03,0.08]",0.05970768498423848,0.17298140124350717,1.0,0.24,1.0,1.0,-0.224446570182924,75
smith,pareto_camc_rsrc_anchor,"(0.08,0.15]",0.11546707099167516,0.21922674253793503,1.0,0.2184873949579832,0.9243697478991597,1.0,-0.2506988422823656,119
smith,pareto_camc_rsrc_anchor,>0.15,0.1877632171350431,0.2766828290580764,1.0,0.4855072463768116,0.6739130434782609,1.0,-0.30109078579741,138
smith,pareto_camc_sempc_candidate,<=0,-0.26550079448381136,-0.170063038999601,0.2097902097902098,0.0979020979020979,1.0,0.46153846153846156,0.0766726899001037,143
smith,pareto_camc_sempc_candidate,"(0,0.03]",0.016154452700861858,0.1357203217414418,1.0,0.2,1.0,1.0,-0.2003065845599176,25
smith,pareto_camc_sempc_candidate,"(0.03,0.08]",0.05970768498423848,0.17298140124350717,1.0,0.24,1.0,1.0,-0.224446570182924,75
smith,pareto_camc_sempc_candidate,"(0.08,0.15]",0.11546707099167516,0.21922674253793503,1.0,0.2184873949579832,0.9243697478991597,1.0,-0.2506988422823656,119
smith,pareto_camc_sempc_candidate,>0.15,0.1877632171350431,0.2766828290580764,1.0,0.4855072463768116,0.6739130434782609,1.0,-0.30109078579741,138
smith,pareto_camc_static_anchor,<=0,-0.26569973786579554,-0.17026227695015347,0.2097902097902098,0.1048951048951049,1.0,0.46153846153846156,0.07672985085698776,143
smith,pareto_camc_static_anchor,"(0,0.03]",0.016156250968239916,0.13572210777769503,1.0,0.2,1.0,1.0,-0.20031185643634977,25
smith,pareto_camc_static_anchor,"(0.03,0.08]",0.05972409147542398,0.1729977335725612,1.0,0.25333333333333335,1.0,1.0,-0.2245123736923423,75
smith,pareto_camc_static_anchor,"(0.08,0.15]",0.11518672323134391,0.21922516889673102,1.0,0.22033898305084745,0.923728813559322,1.0,-0.25101392400508693,118
smith,pareto_camc_static_anchor,>0.15,0.18791631666728842,0.2766615183949004,1.0,0.49640287769784175,0.6546762589928058,1.0,-0.300502398572214,139
smith,plain_mpc,<=0,-0.1756281198319982,-0.07611790592178902,0.5461254612546126,0.25461254612546125,1.0,0.6826568265682657,-0.04003096502254632,271
smith,plain_mpc,"(0,0.03]",0.00993182479779006,0.1113746375053208,1.0,0.43564356435643564,1.0,1.0,-0.23279341890296795,101
smith,plain_mpc,"(0.03,0.08]",0.054045803620222606,0.15496757225421845,1.0,0.515625,1.0,1.0,-0.28956774247726436,64
smith,plain_mpc,"(0.08,0.15]",0.10862165013599175,0.21258386673592505,1.0,0.8214285714285714,0.75,1.0,-0.33119690559389187,56
smith,plain_mpc,>0.15,0.1709556207399171,0.26068715422737143,1.0,1.0,0.0,1.0,-0.38105733389314045,8
smith,rsrc,<=0,-0.26605470798350556,-0.17061721495583423,0.2097902097902098,0.0979020979020979,1.0,0.44755244755244755,0.07749623018786507,143
smith,rsrc,"(0,0.03]",0.015872829942958123,0.13543891945747133,1.0,0.16,1.0,1.0,-0.19975042494282544,25
smith,rsrc,"(0.03,0.08]",0.059867049565636585,0.17404195218208002,1.0,0.2597402597402597,0.987012987012987,1.0,-0.2262150006574917,77
smith,rsrc,"(0.08,0.15]",0.11681490772120941,0.22202693519285477,1.0,0.2265625,0.8671875,1.0,-0.2596160872749372,128
smith,rsrc,>0.15,0.18587222820783592,0.272704915197056,1.0,0.41732283464566927,0.7401574803149606,1.0,-0.3023571516528593,127
smith,rsrc_no_context,<=0,-0.26605470798350556,-0.17061721495583423,0.2097902097902098,0.0979020979020979,1.0,0.44755244755244755,0.07749623018786507,143
smith,rsrc_no_context,"(0,0.03]",0.015872829942958123,0.13543891945747133,1.0,0.16,1.0,1.0,-0.19975042494282544,25
smith,rsrc_no_context,"(0.03,0.08]",0.059867049565636585,0.17404195218208002,1.0,0.2597402597402597,0.987012987012987,1.0,-0.2262150006574917,77
smith,rsrc_no_context,"(0.08,0.15]",0.11681490772120941,0.22202693519285477,1.0,0.2265625,0.8671875,1.0,-0.2596160872749372,128
smith,rsrc_no_context,>0.15,0.18587222820783592,0.272704915197056,1.0,0.41732283464566927,0.7401574803149606,1.0,-0.3023571516528593,127
smith,rsrc_no_recovery,<=0,-0.262542361315584,-0.17836719267431622,0.18705035971223022,0.09352517985611511,1.0,0.4316546762589928,0.08465782886901568,139
smith,rsrc_no_recovery,"(0,0.03]",0.015183330492242167,0.12197847011777764,1.0,0.23529411764705882,1.0,1.0,-0.1929991211489139,17
