dataset,controller,headroom_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
smith,camc_rsrc_anchor,<=0,0.07354235219762432,0.05095174583304619,0.45517241379310347,0.13793103448275862,145
smith,camc_rsrc_anchor,"(0,0.03]",-0.19701147187940546,-0.0465099696183073,1.0,0.44,25
smith,camc_rsrc_anchor,"(0.03,0.08]",-0.2267055639866491,-0.043374785259941276,1.0,0.40540540540540543,74
smith,camc_rsrc_anchor,"(0.08,0.15]",-0.2624215938674417,-0.013486751570776712,1.0,0.22794117647058823,136
smith,camc_rsrc_anchor,>0.15,-0.30301688747601335,-0.004742749516831158,1.0,0.19166666666666668,120
smith,camc_sempc_candidate,<=0,0.07354235219762432,0.05095174583304619,0.45517241379310347,0.13793103448275862,145
smith,camc_sempc_candidate,"(0,0.03]",-0.19701147187940546,-0.0465099696183073,1.0,0.44,25
smith,camc_sempc_candidate,"(0.03,0.08]",-0.2267055639866491,-0.043374785259941276,1.0,0.40540540540540543,74
smith,camc_sempc_candidate,"(0.08,0.15]",-0.2624215938674417,-0.013486751570776712,1.0,0.22794117647058823,136
smith,camc_sempc_candidate,>0.15,-0.30301688747601335,-0.004742749516831158,1.0,0.19166666666666668,120
smith,camc_static_anchor,<=0,0.07672985085698776,0.05429570176458621,0.46153846153846156,0.13986013986013987,143
smith,camc_static_anchor,"(0,0.03]",-0.20031185643634977,-0.0643409166785498,1.0,0.52,25
smith,camc_static_anchor,"(0.03,0.08]",-0.2245123736923423,-0.041983390635908606,1.0,0.4,75
smith,camc_static_anchor,"(0.08,0.15]",-0.25101392400508693,-0.01551884059976981,1.0,0.2457627118644068,118
smith,camc_static_anchor,>0.15,-0.300502398572214,-0.00405634473015921,1.0,0.17266187050359713,139
smith,greedy_myopic,<=0,-0.014793528732849184,0.02002225757475842,0.6157407407407407,0.24074074074074073,216
smith,greedy_myopic,"(0,0.03]",-0.24154142333784687,-0.037114588764668346,1.0,0.3409090909090909,44
smith,greedy_myopic,"(0.03,0.08]",-0.2671659850913213,-0.013207446692432706,1.0,0.24675324675324675,77
smith,greedy_myopic,"(0.08,0.15]",-0.3058113416956216,-0.007662510368771875,1.0,0.17355371900826447,121
smith,greedy_myopic,>0.15,-0.34604082489905896,-0.0013707219834125928,1.0,0.16666666666666666,42
smith,headroom_only,<=0,0.08465782886901568,0.05613416060955488,0.4316546762589928,0.12949640287769784,139
smith,headroom_only,"(0,0.03]",-0.1929991211489139,-0.07335706026177151,1.0,0.5294117647058824,17
smith,headroom_only,"(0.03,0.08]",-0.21438997229185341,-0.03924968938880323,1.0,0.3787878787878788,66
smith,headroom_only,"(0.08,0.15]",-0.25462706660975953,-0.020203661246475737,1.0,0.26666666666666666,135
smith,headroom_only,>0.15,-0.2994780072874487,-0.004370608560372892,1.0,0.1958041958041958,143
smith,maxweight_backlog,<=0,0.07732230697748942,0.05443649727928065,0.44755244755244755,0.13286713286713286,143
smith,maxweight_backlog,"(0,0.03]",-0.1998880246384373,-0.064331086232732,1.0,0.52,25
smith,maxweight_backlog,"(0.03,0.08]",-0.22392196988637403,-0.04214235367286459,1.0,0.4,75
smith,maxweight_backlog,"(0.08,0.15]",-0.2587803976733369,-0.014327344881076386,1.0,0.234375,128
smith,maxweight_backlog,>0.15,-0.30219871817079785,-0.0044102966103182805,1.0,0.18604651162790697,129
smith,minimal_verify,<=0,0.24326934824032184,15.178857447260484,0.0482897384305835,0.028169014084507043,497
smith,minimal_verify,"(0.03,0.08]",-0.3741152847308364,0.0,1.0,0.0,1
smith,minimal_verify,"(0.08,0.15]",-0.4833204896783828,0.0,1.0,0.0,2
smith,oracle_src,<=0,0.14965248910851264,0.0831008265624057,0.2857142857142857,0.0625,112
smith,oracle_src,"(0,0.03]",-0.12781783103092303,-0.07934728629382552,1.0,0.6666666666666666,6
smith,oracle_src,"(0.03,0.08]",-0.1426926297494346,-0.01842503183629058,1.0,0.25,16
smith,oracle_src,"(0.08,0.15]",-0.20692559961350754,-0.033939510063230954,1.0,0.3048780487804878,82
smith,oracle_src,>0.15,-0.2872497528605435,-0.018365137848335576,1.0,0.25,284
smith,pareto_camc_rsrc_anchor,<=0,0.0766726899001037,0.05430615403383962,0.46153846153846156,0.13986013986013987,143
smith,pareto_camc_rsrc_anchor,"(0,0.03]",-0.2003065845599176,-0.06433980525978815,1.0,0.52,25
smith,pareto_camc_rsrc_anchor,"(0.03,0.08]",-0.224446570182924,-0.04198470174340226,1.0,0.4,75
smith,pareto_camc_rsrc_anchor,"(0.08,0.15]",-0.2506988422823656,-0.015388430283465081,1.0,0.24369747899159663,119
smith,pareto_camc_rsrc_anchor,>0.15,-0.30109078579741,-0.004087141623917697,1.0,0.17391304347826086,138
smith,pareto_camc_sempc_candidate,<=0,0.0766726899001037,0.05430615403383962,0.46153846153846156,0.13986013986013987,143
smith,pareto_camc_sempc_candidate,"(0,0.03]",-0.2003065845599176,-0.06433980525978815,1.0,0.52,25
smith,pareto_camc_sempc_candidate,"(0.03,0.08]",-0.224446570182924,-0.04198470174340226,1.0,0.4,75
smith,pareto_camc_sempc_candidate,"(0.08,0.15]",-0.2506988422823656,-0.015388430283465081,1.0,0.24369747899159663,119
smith,pareto_camc_sempc_candidate,>0.15,-0.30109078579741,-0.004087141623917697,1.0,0.17391304347826086,138
smith,pareto_camc_static_anchor,<=0,0.07672985085698776,0.05429570176458621,0.46153846153846156,0.13986013986013987,143
smith,pareto_camc_static_anchor,"(0,0.03]",-0.20031185643634977,-0.0643409166785498,1.0,0.52,25
smith,pareto_camc_static_anchor,"(0.03,0.08]",-0.2245123736923423,-0.041983390635908606,1.0,0.4,75
smith,pareto_camc_static_anchor,"(0.08,0.15]",-0.25101392400508693,-0.01551884059976981,1.0,0.2457627118644068,118
smith,pareto_camc_static_anchor,>0.15,-0.300502398572214,-0.00405634473015921,1.0,0.17266187050359713,139
smith,plain_mpc,<=0,-0.04003096502254632,0.015357831749652774,0.6826568265682657,0.25092250922509224,271
smith,plain_mpc,"(0,0.03]",-0.23279341890296795,-0.02537566741945364,1.0,0.2871287128712871,101
smith,plain_mpc,"(0.03,0.08]",-0.28956774247726436,-0.013342629109466661,1.0,0.265625,64
smith,plain_mpc,"(0.08,0.15]",-0.33119690559389187,-0.0014689257709880146,1.0,0.16071428571428573,56
smith,plain_mpc,>0.15,-0.38105733389314045,-0.0005202708119119422,1.0,0.125,8
smith,rsrc,<=0,0.07749623018786507,0.05445999191891359,0.44755244755244755,0.13286713286713286,143
smith,rsrc,"(0,0.03]",-0.19975042494282544,-0.06434221654901615,1.0,0.52,25
smith,rsrc,"(0.03,0.08]",-0.2262150006574917,-0.04107802225033065,1.0,0.38961038961038963,77
smith,rsrc,"(0.08,0.15]",-0.2596160872749372,-0.014338978254210346,1.0,0.2421875,128
smith,rsrc,>0.15,-0.3023571516528593,-0.00447416541102346,1.0,0.18110236220472442,127
smith,rsrc_no_context,<=0,0.07749623018786507,0.05445999191891359,0.44755244755244755,0.13286713286713286,143
smith,rsrc_no_context,"(0,0.03]",-0.19975042494282544,-0.06434221654901615,1.0,0.52,25
smith,rsrc_no_context,"(0.03,0.08]",-0.2262150006574917,-0.04107802225033065,1.0,0.38961038961038963,77
smith,rsrc_no_context,"(0.08,0.15]",-0.2596160872749372,-0.014338978254210346,1.0,0.2421875,128
smith,rsrc_no_context,>0.15,-0.3023571516528593,-0.00447416541102346,1.0,0.18110236220472442,127
smith,rsrc_no_recovery,<=0,0.08465782886901568,0.05613416060955488,0.4316546762589928,0.12949640287769784,139
smith,rsrc_no_recovery,"(0,0.03]",-0.1929991211489139,-0.07335706026177151,1.0,0.5294117647058824,17
smith,rsrc_no_recovery,"(0.03,0.08]",-0.21438997229185341,-0.03924968938880323,1.0,0.3787878787878788,66
smith,rsrc_no_recovery,"(0.08,0.15]",-0.25462706660975953,-0.020203661246475737,1.0,0.26666666666666666,135
smith,rsrc_no_recovery,>0.15,-0.2994780072874487,-0.004370608560372892,1.0,0.1958041958041958,143
smith,se_mpc,<=0,0.07749623018786507,0.05445999191891359,0.44755244755244755,0.13286713286713286,143
smith,se_mpc,"(0,0.03]",-0.19975042494282544,-0.06434221654901615,1.0,0.52,25
smith,se_mpc,"(0.03,0.08]",-0.2262150006574917,-0.04107802225033065,1.0,0.38961038961038963,77
smith,se_mpc,"(0.08,0.15]",-0.2596160872749372,-0.014338978254210346,1.0,0.2421875,128
smith,se_mpc,>0.15,-0.3023571516528593,-0.00447416541102346,1.0,0.18110236220472442,127
smith,static_aggressive,<=0,-0.02186388364633579,0.014971892230613477,0.6359649122807017,0.2675438596491228,228
smith,static_aggressive,"(0,0.03]",-0.24896989511251724,-0.01819370813691693,1.0,0.3076923076923077,39
smith,static_aggressive,"(0.03,0.08]",-0.2727073897043458,-0.014823386019485242,1.0,0.19718309859154928,71
smith,static_aggressive,"(0.08,0.15]",-0.30281175664756443,-0.006581785278512357,1.0,0.19090909090909092,110
smith,static_aggressive,>0.15,-0.34232464605617563,-0.0027880494322438136,1.0,0.15384615384615385,52
smith,static_conservative,<=0,0.07672985085698776,0.05429570176458621,0.46153846153846156,0.13986013986013987,143
smith,static_conservative,"(0,0.03]",-0.20031185643634977,-0.0643409166785498,1.0,0.52,25
smith,static_conservative,"(0.03,0.08]",-0.2245123736923423,-0.041983390635908606,1.0,0.4,75
smith,static_conservative,"(0.08,0.15]",-0.25101392400508693,-0.01551884059976981,1.0,0.2457627118644068,118
smith,static_conservative,>0.15,-0.300502398572214,-0.00405634473015921,1.0,0.17266187050359713,139
test,adaptive_threshold,<=0,-0.157403573795698,0.007511383722903989,0.9411764705882353,0.0,34
test,adaptive_threshold,"(0,0.03]",-0.26514661885112334,-0.006874205893856985,1.0,0.029411764705882353,34
