dataset,controller,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
test,maxweight_backlog,<=0.5,-0.3232675178359694,0.0,0.9927007299270073,0.010948905109489052,274
test,minimal_verify,<=0.5,-0.07779998559696966,0.0005807742633304581,0.9373737373737374,0.1191919191919192,495
test,minimal_verify,"(0.5,1]",-0.08057932703600701,-0.09582775344952559,1.0,1.0,3
test,oracle_src,<=0.5,-0.25093435678020054,0.001161802774268719,0.9895104895104895,0.0034965034965034965,286
test,oracle_src,"(0.5,1]",-0.30240443928806565,-0.2563420818240367,1.0,1.0,1
test,pareto_camc_rsrc_anchor,<=0.5,-0.32420134030175607,2.4432725013757847e-20,0.9929577464788732,0.01056338028169014,284
test,pareto_camc_sempc_candidate,<=0.5,-0.3248817885703829,0.0,0.9925925925925926,0.011111111111111112,270
test,pareto_camc_static_anchor,<=0.5,-0.32154243087849893,0.0,0.9918032786885246,0.012295081967213115,244
test,plain_mpc,<=0.5,-0.2596826704196011,0.0004885325265637949,0.9898167006109979,0.010183299389002037,491
test,plain_mpc,"(0.5,1]",-0.28648948883740843,-0.23986947054282332,1.0,1.0,1
test,rsrc,<=0.5,-0.32420134030175607,2.4432725013757847e-20,0.9929577464788732,0.01056338028169014,284
test,rsrc_no_context,<=0.5,-0.32630836303706146,2.4519059731120948e-20,0.9929328621908127,0.01060070671378092,283
test,rsrc_no_recovery,<=0.5,-0.32360013221075784,-3.7172645913788724e-20,0.9928571428571429,0.010714285714285714,280
test,se_mpc,<=0.5,-0.32376231487996315,1.2259529865560474e-20,0.9929328621908127,0.01060070671378092,283
test,static_aggressive,<=0.5,-0.35761231314775527,0.0006618245793692668,0.995049504950495,0.0049504950495049506,404
test,static_aggressive,"(0.5,1]",-0.3763128543400489,-0.2673771300651838,1.0,1.0,1
test,static_conservative,<=0.5,-0.32154243087849893,0.0,0.9918032786885246,0.012295081967213115,244
verified,adaptive_threshold,<=0.5,-0.2828950235988886,5.708798880316534e-06,0.9945054945054945,0.0027472527472527475,364
verified,always_verify,<=0.5,-0.3439469497848589,0.0,1.0,0.0,395
verified,always_verify_throttle,<=0.5,-0.3433003725499333,0.0,1.0,0.0,378
verified,camc_rsrc_anchor,<=0.5,-0.3223115141011594,0.0,1.0,0.0,263
verified,camc_sempc_candidate,<=0.5,-0.3264841893655436,0.0,1.0,0.0,322
verified,camc_static_anchor,<=0.5,-0.32447751399433944,0.0,1.0,0.0,212
verified,greedy_myopic,<=0.5,-0.31443285973501794,0.0,0.9953810623556582,0.004618937644341801,433
verified,headroom_only,<=0.5,-0.3263045348608009,0.0,1.0,0.0,256
verified,maxweight_backlog,<=0.5,-0.32493062755119845,0.0,1.0,0.0,236
verified,minimal_verify,<=0.5,-0.08253733952737069,-2.743096678883666e-21,0.9418837675350702,0.09018036072144289,499
verified,oracle_src,<=0.5,-0.23972194224756277,0.0,0.9886363636363636,0.011363636363636364,352
verified,pareto_camc_rsrc_anchor,<=0.5,-0.3252058511004439,0.0,1.0,0.0,257
verified,pareto_camc_sempc_candidate,<=0.5,-0.3255137509652071,0.0,1.0,0.0,227
verified,pareto_camc_static_anchor,<=0.5,-0.3243253085571676,0.0,1.0,0.0,208
verified,plain_mpc,<=0.5,-0.23630058177671331,0.0,0.9897959183673469,0.01020408163265306,490
verified,rsrc,<=0.5,-0.3252058511004439,0.0,1.0,0.0,257
verified,rsrc_no_context,<=0.5,-0.3269357609280305,0.0,1.0,0.0,256
verified,rsrc_no_recovery,<=0.5,-0.32511036307822755,0.0,1.0,0.0,258
verified,se_mpc,<=0.5,-0.32493284798168914,0.0,1.0,0.0,258
verified,static_aggressive,<=0.5,-0.3580785859791662,0.0,1.0,0.0,395
verified,static_conservative,<=0.5,-0.3243253085571676,0.0,1.0,0.0,208
