dataset,controller,profile,safety_augmented_cost,ci_low,ci_high
test,always_verify_throttle,medium,1.0105520801527637,0.9720324155406147,1.0490717447649125
test,always_verify_throttle,high,1.4935520801527638,1.4310324155406147,1.5560717447649126
test,camc_rsrc_anchor,low,0.6788821260156721,0.6549051726558248,0.7028590793755194
test,camc_rsrc_anchor,medium,1.039882126015672,1.0009051726558247,1.0788590793755195
test,camc_rsrc_anchor,high,1.5813821260156722,1.5199051726558246,1.6428590793755196
test,camc_sempc_candidate,low,0.6808820661244447,0.6552021171036275,0.7065620151452618
test,camc_sempc_candidate,medium,1.0588820661244447,1.0172021171036274,1.1005620151452618
test,camc_sempc_candidate,high,1.6258820661244444,1.5602021171036273,1.6915620151452617
test,camc_static_anchor,low,0.6775105491913215,0.6534071842697429,0.7016139141129001
test,camc_static_anchor,medium,1.0385105491913214,0.9994071842697428,1.0776139141129
test,camc_static_anchor,high,1.5800105491913214,1.5184071842697429,1.6416139141129
test,greedy_myopic,low,0.6776800037422492,0.667890728611698,0.6874692788728005
test,greedy_myopic,medium,1.0816800037422492,1.0638907286116979,1.0994692788728007
test,greedy_myopic,high,1.6876800037422495,1.6578907286116982,1.7174692788728008
test,headroom_only,low,0.6795104833749006,0.6552355175603761,0.7037854491894251
test,headroom_only,medium,1.0405104833749004,1.001235517560376,1.079785449189425
test,headroom_only,high,1.5820104833749005,1.520235517560376,1.643785449189425
test,maxweight_backlog,low,0.6788815833675385,0.6548723603571842,0.7028908063778927
test,maxweight_backlog,medium,1.0398815833675386,1.000872360357184,1.0788908063778928
test,maxweight_backlog,high,1.5813815833675384,1.519872360357184,1.6428908063778929
test,minimal_verify,low,0.7265737635976707,0.6993430900716304,0.7538044371237109
test,minimal_verify,medium,1.2205737635976708,1.1833430900716304,1.257804437123711
test,minimal_verify,high,1.9660737635976706,1.9093430900716304,2.022804437123711
test,oracle_src,low,0.677301514473139,0.6595119312808673,0.6950910976654108
test,oracle_src,medium,1.107301514473139,1.0775119312808674,1.1370910976654107
test,oracle_src,high,1.7523015144731389,1.7045119312808672,1.8000910976654108
test,pareto_camc_rsrc_anchor,low,0.6791665785649715,0.6549942865946499,0.7033388705352932
test,pareto_camc_rsrc_anchor,medium,1.0401665785649716,1.0009942865946497,1.0793388705352933
test,pareto_camc_rsrc_anchor,high,1.5816665785649715,1.5199942865946496,1.6433388705352934
test,pareto_camc_sempc_candidate,low,0.6769477246457415,0.6521028249524314,0.7017926243390515
test,pareto_camc_sempc_candidate,medium,1.0299477246457416,0.9861028249524314,1.0737926243390516
test,pareto_camc_sempc_candidate,high,1.5594477246457414,1.4871028249524314,1.6317926243390515
test,pareto_camc_static_anchor,low,0.6774803663041128,0.6534620183539128,0.7014987142543128
test,pareto_camc_static_anchor,medium,1.038480366304113,0.9994620183539128,1.0774987142543129
test,pareto_camc_static_anchor,high,1.5799803663041128,1.5184620183539126,1.641498714254313
test,plain_mpc,low,0.6869690421528266,0.6750071735221274,0.6989309107835259
test,plain_mpc,medium,1.1329690421528267,1.1170071735221274,1.148930910783526
test,plain_mpc,high,1.8019690421528267,1.7800071735221275,1.823930910783526
test,rsrc,low,0.6791665785649715,0.6549942865946499,0.7033388705352932
test,rsrc,medium,1.0401665785649716,1.0009942865946497,1.0793388705352933
test,rsrc,high,1.5816665785649715,1.5199942865946496,1.6433388705352934
test,rsrc_no_context,low,0.6791707200808816,0.6549942865946499,0.7033471535671134
test,rsrc_no_context,medium,1.0401707200808816,1.0009942865946497,1.0793471535671135
test,rsrc_no_context,high,1.5816707200808815,1.5199942865946496,1.6433471535671136
test,rsrc_no_recovery,low,0.6795104833749006,0.6552355175603761,0.7037854491894251
test,rsrc_no_recovery,medium,1.0405104833749004,1.001235517560376,1.079785449189425
test,rsrc_no_recovery,high,1.5820104833749005,1.520235517560376,1.643785449189425
test,se_mpc,low,0.6777130083234716,0.6549896602503853,0.7004363563965579
test,se_mpc,medium,1.0377130083234714,1.0009896602503852,1.0744363563965578
test,se_mpc,high,1.5777130083234714,1.5199896602503853,1.6354363563965577
test,static_aggressive,low,0.6939733030785752,0.6707952119407559,0.7171513942163945
test,static_aggressive,medium,1.062973303078575,1.0247952119407557,1.1011513942163944
test,static_aggressive,high,1.6164733030785752,1.5557952119407557,1.6771513942163945
test,static_conservative,low,0.6774803663041128,0.6534620183539128,0.7014987142543128
test,static_conservative,medium,1.038480366304113,0.9994620183539128,1.0774987142543129
test,static_conservative,high,1.5799803663041128,1.5184620183539126,1.641498714254313
verified,adaptive_threshold,low,0.6535032678731507,0.6391396075413645,0.6678669282049369
verified,adaptive_threshold,medium,1.0715032678731506,1.0431396075413644,1.099866928204937
verified,adaptive_threshold,high,1.6985032678731509,1.6491396075413647,1.7478669282049368
verified,always_verify,low,0.6770628462260275,0.6682132932755896,0.6859123991764655
verified,always_verify,medium,0.9950628462260276,0.9802132932755896,1.0099123991764656
verified,always_verify,high,1.4720628462260275,1.4482132932755896,1.4959123991764653
verified,always_verify_throttle,low,0.6756944503964708,0.6659586937290544,0.6854302070638872
verified,always_verify_throttle,medium,0.9926944503964708,0.9759586937290543,1.0094302070638872
verified,always_verify_throttle,high,1.4681944503964708,1.4409586937290544,1.4954302070638872
verified,camc_rsrc_anchor,low,0.6665321288040669,0.6519613447010966,0.6811029129070373
verified,camc_rsrc_anchor,medium,1.038532128804067,1.0099613447010964,1.0671029129070373
verified,camc_rsrc_anchor,high,1.5965321288040668,1.5469613447010964,1.6461029129070373
verified,camc_sempc_candidate,low,0.6566892876199322,0.6466799440334263,0.6666986312064379
verified,camc_sempc_candidate,medium,1.0376892876199322,1.0186799440334262,1.056698631206438
verified,camc_sempc_candidate,high,1.609189287619932,1.5766799440334265,1.6416986312064379
verified,camc_static_anchor,low,0.6623748885344303,0.6487623105961302,0.6759874664727304
verified,camc_static_anchor,medium,1.0293748885344303,1.00276231059613,1.0559874664727305
verified,camc_static_anchor,high,1.5798748885344303,1.53376231059613,1.6259874664727305
verified,greedy_myopic,low,0.6670710440531253,0.6519819293536702,0.6821601587525806
verified,greedy_myopic,medium,1.0800710440531254,1.04998192935367,1.1101601587525807
verified,greedy_myopic,high,1.6995710440531253,1.64698192935367,1.7521601587525806
verified,headroom_only,low,0.6675800011393187,0.6534077129880655,0.6817522892905719
verified,headroom_only,medium,1.0395800011393186,1.0114077129880654,1.0677522892905718
verified,headroom_only,high,1.5975800011393186,1.5484077129880653,1.6467522892905717
verified,maxweight_backlog,low,0.66357368914601,0.6502755188126501,0.67687185947937
