dataset,controller,slack_quantile,rows,activation_rate,mean_certified_margin,mean_certified_slack,post_switch_violation_rate,mean_success,mean_drift
smith,pareto_camc_sempc_candidate,Q3,45,0.0,-0.13187384068640876,-0.015351154986631043,,0.17777777777777778,-0.280937848355997
smith,pareto_camc_sempc_candidate,Q4,34,0.058823529411764705,-0.132884191306876,0.022046540962055886,0.0,0.35294117647058826,-0.3120525593757166
smith,pareto_camc_sempc_candidate,Q5,21,0.0,-0.14674726223110943,0.07579895543052999,,0.42857142857142855,-0.3339290861972649
smith,pareto_camc_static_anchor,Q1,296,0.0,,-0.2610521788735971,,0.21283783783783783,-0.08757106266524195
smith,pareto_camc_static_anchor,Q2,102,0.0,,-0.06795338377123837,,0.24509803921568626,-0.25165812239732904
smith,pareto_camc_static_anchor,Q3,44,0.0,-0.13187384068628227,-0.016231568930624746,,0.18181818181818182,-0.2756095748772607
smith,pareto_camc_static_anchor,Q4,35,0.0,-0.14272341988300905,0.02149060681871298,,0.34285714285714286,-0.3083364737113697
smith,pareto_camc_static_anchor,Q5,23,0.0,-0.14514404407020418,0.0785824754457173,,0.391304347826087,-0.3371552735428947
test,camc_rsrc_anchor,Q1,48,0.0,,-0.1653643445334819,,0.3125,-0.2481422447071283
test,camc_rsrc_anchor,Q2,128,0.0,,-0.06306594915736685,,0.25,-0.3295375415593178
test,camc_rsrc_anchor,Q3,127,0.007874015748031496,-0.0939395762767249,-0.011439974860449918,0.0,0.23622047244094488,-0.36003855387124584
test,camc_rsrc_anchor,Q4,115,0.06086956521739131,-0.08368657680883916,0.025170780866635923,0.0,0.3217391304347826,-0.40054591533897543
test,camc_rsrc_anchor,Q5,82,0.04878048780487805,-0.10174678758317614,0.08826219140340182,0.0,0.3048780487804878,-0.45391052094090545
test,camc_sempc_candidate,Q1,45,0.0,,-0.17050975510071487,,0.24444444444444444,-0.24051152102106677
test,camc_sempc_candidate,Q2,119,0.0,,-0.06493872358814451,,0.25210084033613445,-0.32586781557395594
test,camc_sempc_candidate,Q3,113,0.05309734513274336,-0.00680004000457783,-0.013691390472769148,0.0,0.23008849557522124,-0.34345258060329054
test,camc_sempc_candidate,Q4,114,0.5877192982456141,0.13892062190734392,0.027317407482901773,0.0,0.23684210526315788,-0.3794620956535542
test,camc_sempc_candidate,Q5,109,0.9724770642201835,0.2083437855767079,0.08472539510310655,0.0,0.25688073394495414,-0.4443750344722065
test,camc_static_anchor,Q1,43,0.0,,-0.16904118717259814,,0.27906976744186046,-0.2434797779059041
test,camc_static_anchor,Q2,106,0.0,,-0.06290403935682604,,0.27358490566037735,-0.3308912273333264
test,camc_static_anchor,Q3,123,0.008130081300813009,-0.1892949282533221,-0.009935081909822934,0.0,0.21951219512195122,-0.35398637031134583
test,camc_static_anchor,Q4,111,0.08108108108108109,-0.11549297361239741,0.028291476072345074,0.0,0.34234234234234234,-0.3814156045194005
test,camc_static_anchor,Q5,117,0.2222222222222222,-0.025208132619766992,0.0911643688639929,0.0,0.28205128205128205,-0.4209853734690831
test,pareto_camc_rsrc_anchor,Q1,48,0.0,,-0.1654171899787185,,0.3125,-0.248147977567551
test,pareto_camc_rsrc_anchor,Q2,129,0.0,,-0.062965914034559,,0.23255813953488372,-0.32900730621082647
test,pareto_camc_rsrc_anchor,Q3,129,0.0,-0.1127582734872544,-0.010868016878890434,,0.24806201550387597,-0.36207585068375536
test,pareto_camc_rsrc_anchor,Q4,105,0.0,-0.1244549855880936,0.026379086090207567,,0.3333333333333333,-0.4021442319701819
test,pareto_camc_rsrc_anchor,Q5,89,0.0,-0.11702419760168263,0.08904067095850839,,0.30337078651685395,-0.4514180714886992
test,pareto_camc_sempc_candidate,Q1,42,0.0,,-0.17103405151502227,,0.2857142857142857,-0.24543150909303604
test,pareto_camc_sempc_candidate,Q2,117,0.0,,-0.06408077692249711,,0.2564102564102564,-0.32962952102626764
test,pareto_camc_sempc_candidate,Q3,116,0.034482758620689655,-0.05170446604228974,-0.015872018140160944,0.0,0.2413793103448276,-0.35489071278069845
test,pareto_camc_sempc_candidate,Q4,105,0.19047619047619047,-0.08105230625109569,0.02715111116176221,0.0,0.3142857142857143,-0.3860881594216162
test,pareto_camc_sempc_candidate,Q5,120,0.25,-0.08049686737353035,0.08490921638314079,0.0,0.36666666666666664,-0.4193129257385787
test,pareto_camc_static_anchor,Q1,41,0.0,,-0.172215643327976,,0.2682926829268293,-0.2434033322119945
test,pareto_camc_static_anchor,Q2,101,0.0,,-0.06365846439884552,,0.2871287128712871,-0.32955030611316505
test,pareto_camc_static_anchor,Q3,97,0.0,-0.11867080400317931,-0.013634221749754979,,0.1958762886597938,-0.3480358076350759
test,pareto_camc_static_anchor,Q4,84,0.0,-0.12149990563763419,0.027747266298185438,,0.3333333333333333,-0.36772729394371906
test,pareto_camc_static_anchor,Q5,177,0.0,-0.11818574454419323,0.10337960561524541,,0.2937853107344633,-0.4058278347685357
verified,camc_rsrc_anchor,Q1,28,0.0,,-0.15080302715912638,,0.32142857142857145,-0.2500191813439988
verified,camc_rsrc_anchor,Q2,91,0.0,,-0.0635702946321618,,0.24175824175824176,-0.3215935900596296
verified,camc_rsrc_anchor,Q3,149,0.006711409395973154,-0.09374757351506936,-0.011271831743789328,0.0,0.21476510067114093,-0.3506045855476185
verified,camc_rsrc_anchor,Q4,148,0.0472972972972973,-0.07774331506025754,0.02535874580797718,0.0,0.2635135135135135,-0.39153405512458744
verified,camc_rsrc_anchor,Q5,84,0.03571428571428571,-0.10060591584609947,0.09273162611853507,0.0,0.30952380952380953,-0.4442001673560292
verified,camc_sempc_candidate,Q1,27,0.0,,-0.15378142989597898,,0.37037037037037035,-0.25747820353455503
verified,camc_sempc_candidate,Q2,91,0.0,,-0.06451826047317737,,0.2087912087912088,-0.310375219982214
verified,camc_sempc_candidate,Q3,127,0.031496062992125984,-0.04628862227784746,-0.011742910214891723,0.0,0.18110236220472442,-0.3405597435146969
verified,camc_sempc_candidate,Q4,141,0.5673758865248227,0.12179913020771342,0.027612160775349125,0.0,0.2553191489361702,-0.37434101454909086
verified,camc_sempc_candidate,Q5,114,0.9122807017543859,0.20465295790783627,0.08298559213461397,0.0,0.2719298245614035,-0.4348133267997055
verified,camc_static_anchor,Q1,19,0.0,,-0.15942478716391523,,0.3684210526315789,-0.24817110205783735
verified,camc_static_anchor,Q2,76,0.0,,-0.06580602397471763,,0.23684210526315788,-0.31700120546072647
verified,camc_static_anchor,Q3,119,0.0,-0.21613036862985005,-0.01024994452211773,,0.20168067226890757,-0.35037614525066074
verified,camc_static_anchor,Q4,137,0.021897810218978103,-0.14735052162981155,0.02840032511549862,0.0,0.29927007299270075,-0.36909522052087024
verified,camc_static_anchor,Q5,149,0.10738255033557047,-0.040222816192479596,0.0922241620863274,0.0,0.28859060402684567,-0.40832694436971845
verified,pareto_camc_rsrc_anchor,Q1,26,0.0,,-0.15251281982250933,,0.3076923076923077,-0.2470281059224477
verified,pareto_camc_rsrc_anchor,Q2,93,0.0,,-0.0634031390188363,,0.24731182795698925,-0.3196211090869317
verified,pareto_camc_rsrc_anchor,Q3,147,0.0,-0.11703944036772243,-0.011366661954612339,,0.21768707482993196,-0.35400326684094574
verified,pareto_camc_rsrc_anchor,Q4,141,0.0,-0.13298684863313665,0.02767464203402995,,0.2695035460992908,-0.3930303656077395
verified,pareto_camc_rsrc_anchor,Q5,93,0.0,-0.11958084353378784,0.09322942032132514,,0.3010752688172043,-0.4414623220400202
verified,pareto_camc_sempc_candidate,Q1,23,0.0,,-0.15144306167989585,,0.30434782608695654,-0.2427967659069127
verified,pareto_camc_sempc_candidate,Q2,88,0.0,,-0.06260685881488769,,0.2727272727272727,-0.3231930895287764
verified,pareto_camc_sempc_candidate,Q3,120,0.025,-0.0976885808673949,-0.011611192769362459,0.0,0.18333333333333332,-0.34770486438505405
