dataset,controller,headroom_bin,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,benchmark_safe_rate,rows
rebench,pareto_camc_sempc_candidate,<=0,<=0.5,-0.05983762750509348,0.007989214673560266,0.7647058823529411,0.0,0.29411764705882354,17
rebench,pareto_camc_sempc_candidate,"(0,0.03]",<=0.5,-0.21587194049770794,0.0,1.0,0.0,0.2222222222222222,9
rebench,pareto_camc_sempc_candidate,"(0.03,0.08]",<=0.5,-0.2746733055530508,0.0,1.0,0.0,0.5161290322580645,31
rebench,pareto_camc_sempc_candidate,"(0.08,0.15]",<=0.5,-0.3232334149384428,-2.8231967715646634e-05,1.0,0.008333333333333333,0.5916666666666667,120
rebench,pareto_camc_sempc_candidate,>0.15,<=0.5,-0.3724592019992673,-0.0004099963260824982,1.0,0.01238390092879257,0.7616099071207431,323
rebench,pareto_camc_static_anchor,<=0,<=0.5,-0.0568103075491226,0.007680908046518638,0.7647058823529411,0.0,0.29411764705882354,17
rebench,pareto_camc_static_anchor,"(0,0.03]",<=0.5,-0.21745862431720134,0.0,1.0,0.0,0.3,10
rebench,pareto_camc_static_anchor,"(0.03,0.08]",<=0.5,-0.2789113103740495,0.0,1.0,0.0,0.53125,32
rebench,pareto_camc_static_anchor,"(0.08,0.15]",<=0.5,-0.32291018199725113,-1.4667199365221265e-05,1.0,0.007874015748031496,0.6456692913385826,127
rebench,pareto_camc_static_anchor,>0.15,<=0.5,-0.3726137134446248,-0.00040991306519564893,1.0,0.012738853503184714,0.8121019108280255,314
rebench,plain_mpc,<=0,<=0.5,-0.1791635602060041,0.0008361959284568717,0.9639344262295082,0.01639344262295082,0.12459016393442623,305
rebench,plain_mpc,"(0,0.03]",<=0.5,-0.2523151500297664,-0.0017588948839954892,1.0,0.06206896551724138,0.15862068965517243,145
rebench,plain_mpc,"(0.03,0.08]",<=0.5,-0.3595204270872149,0.0,1.0,0.0,0.5,34
rebench,plain_mpc,"(0.08,0.15]",<=0.5,-0.45801080394652,0.0,1.0,0.0,0.9333333333333333,15
rebench,plain_mpc,>0.15,<=0.5,-0.42751426994870584,0.0,1.0,0.0,1.0,1
rebench,rsrc,<=0,<=0.5,-0.04999104280013583,0.008281619938568414,0.7647058823529411,0.0,0.17647058823529413,17
rebench,rsrc,"(0,0.03]",<=0.5,-0.21067985629669037,0.0,1.0,0.0,0.25,12
rebench,rsrc,"(0.03,0.08]",<=0.5,-0.27054252968928244,0.0,1.0,0.0,0.3611111111111111,36
rebench,rsrc,"(0.08,0.15]",<=0.5,-0.34310116695733545,-2.0092356160798797e-05,1.0,0.00558659217877095,0.6703910614525139,179
rebench,rsrc,>0.15,<=0.5,-0.38361413282053597,-0.0005359023718862502,1.0,0.015625,0.6875,256
rebench,rsrc_no_context,<=0,<=0.5,-0.049981826212795524,0.008259266166560232,0.7647058823529411,0.0,0.17647058823529413,17
rebench,rsrc_no_context,"(0,0.03]",<=0.5,-0.2106797913283247,0.0,1.0,0.0,0.25,12
rebench,rsrc_no_context,"(0.03,0.08]",<=0.5,-0.2705389208562281,0.0,1.0,0.0,0.3611111111111111,36
rebench,rsrc_no_context,"(0.08,0.15]",<=0.5,-0.34384753973927124,-1.9653438235500202e-05,1.0,0.005649717514124294,0.6666666666666666,177
rebench,rsrc_no_context,>0.15,<=0.5,-0.38479437020964175,-0.0005307320397823272,1.0,0.015503875968992248,0.689922480620155,258
rebench,rsrc_no_recovery,<=0,<=0.5,-0.040661904633322046,0.008799522995029082,0.75,0.0,0.125,16
rebench,rsrc_no_recovery,"(0,0.03]",<=0.5,-0.21540976342086135,0.0,1.0,0.0,0.5,6
rebench,rsrc_no_recovery,"(0.03,0.08]",<=0.5,-0.2578208633657731,0.0,1.0,0.0,0.2727272727272727,33
rebench,rsrc_no_recovery,"(0.08,0.15]",<=0.5,-0.3298620618912592,-2.480373160070448e-05,1.0,0.006896551724137931,0.6482758620689655,145
rebench,rsrc_no_recovery,>0.15,<=0.5,-0.38219334672972416,-0.0004573194227945438,1.0,0.013333333333333334,0.6866666666666666,300
rebench,se_mpc,<=0,<=0.5,-0.0499285851619134,0.008281620104259464,0.7647058823529411,0.0,0.17647058823529413,17
rebench,se_mpc,"(0,0.03]",<=0.5,-0.2230902102845736,0.0,1.0,0.0,0.3076923076923077,13
rebench,se_mpc,"(0.03,0.08]",<=0.5,-0.2665726825469993,0.0,1.0,0.0,0.34285714285714286,35
rebench,se_mpc,"(0.08,0.15]",<=0.5,-0.34232299772226576,-1.9870341175708536e-05,1.0,0.0055248618784530384,0.6629834254143646,181
rebench,se_mpc,>0.15,<=0.5,-0.38403503002764183,-0.0005401220866913686,1.0,0.015748031496062992,0.6929133858267716,254
rebench,static_aggressive,<=0,<=0.5,-0.1892168967852364,0.0031694823115650662,0.8928571428571429,0.0,0.14285714285714285,56
rebench,static_aggressive,"(0,0.03]",<=0.5,-0.29901975027292166,-1.4524888522481846e-05,1.0,0.03333333333333333,0.26666666666666666,30
rebench,static_aggressive,"(0.03,0.08]",<=0.5,-0.33275571013269734,-0.001558078444853067,1.0,0.024096385542168676,0.2891566265060241,83
rebench,static_aggressive,"(0.08,0.15]",<=0.5,-0.37418597993718666,-0.00023658679515471074,1.0,0.015706806282722512,0.41361256544502617,191
rebench,static_aggressive,>0.15,<=0.5,-0.4136212954638394,-1.819052853296395e-05,1.0,0.007142857142857143,0.6357142857142857,140
rebench,static_conservative,<=0,<=0.5,-0.0568103075491226,0.007680908046518638,0.7647058823529411,0.0,0.29411764705882354,17
rebench,static_conservative,"(0,0.03]",<=0.5,-0.21745862431720134,0.0,1.0,0.0,0.3,10
rebench,static_conservative,"(0.03,0.08]",<=0.5,-0.2789113103740495,0.0,1.0,0.0,0.53125,32
rebench,static_conservative,"(0.08,0.15]",<=0.5,-0.32291018199725113,-1.4667199365221265e-05,1.0,0.007874015748031496,0.6456692913385826,127
rebench,static_conservative,>0.15,<=0.5,-0.3726137134446248,-0.00040991306519564893,1.0,0.012738853503184714,0.8121019108280255,314
smith,adaptive_threshold,<=0,<=0.5,0.0832411373712811,0.06075092941457329,0.43609022556390975,0.09774436090225563,0.12030075187969924,133
smith,adaptive_threshold,<=0,"(0.5,1]",-0.05215960720951828,-0.04497824522584351,0.6666666666666666,0.6666666666666666,0.0,12
smith,adaptive_threshold,"(0,0.03]",<=0.5,-0.19318435532032813,-0.022764420935730507,1.0,0.2857142857142857,0.23809523809523808,21
smith,adaptive_threshold,"(0,0.03]","(0.5,1]",-0.2079147068150504,-0.26205002686430795,1.0,1.0,0.0,4
smith,adaptive_threshold,"(0.03,0.08]",<=0.5,-0.22814579830321116,-0.01615957287550231,1.0,0.2714285714285714,0.4714285714285714,70
smith,adaptive_threshold,"(0.03,0.08]","(0.5,1]",-0.28080378879027923,-0.2467471304864059,1.0,1.0,0.25,4
