dataset,controller,seed,horizon,discounted_cost,success_rate,avg_workload,overload_rate,safe_occupancy_rate,perf_occupancy_rate,benchmark_action_safe_occupancy_rate,benchmark_safe_occupancy_rate,safe_set_nonempty_rate,exact_safe_set_nonempty_rate,benchmark_action_set_nonempty_rate,fallback_rate,verification_rate,high_effort_rate,max_effort_rate,avg_atoms_selected,avg_context_load,avg_q_ver,avg_recovery_mass,avg_diagnostic_debt,avg_arrival_pressure,certificate_load_violation_rate,certificate_service_violation_rate,theta_nesting_precision,theta_nesting_recall,theta_benchmark_precision,theta_benchmark_recall,action_safe_precision,safe_event_precision,safe_event_recall,mean_drift_outside_safe,negative_drift_rate_outside_safe,avg_return_time_to_safe,excursion_count,mpc_eligible_rate,mpc_activation_rate,mpc_fallback_to_rsrc_rate,mpc_mean_candidate_count,mpc_candidate_rejection_rate,mpc_mean_surrogate_improvement,mpc_verify_down_rate,mpc_verify_up_rate,mpc_atom_up_rate,mpc_mode_switch_rate,camc_gate_evaluation_rate,camc_activation_rate,camc_anchor_preservation_rate,camc_mean_certified_margin,camc_mean_activated_margin,camc_mean_rejected_margin,camc_candidate_rejection_rate,camc_post_switch_violation_rate,camc_mean_anchor_value,camc_mean_best_candidate_value,camc_reject_safety_rate,camc_reject_loss_rate,camc_reject_benefit_rate,camc_reject_violation_rate,mode_distribution,safety_augmented_cost_low,safety_augmented_cost_medium,safety_augmented_cost_high
smith,camc_rsrc_anchor,0,250,0.6109835773810444,0.264,0.06882074317177907,0.024,0.124,0.012,0.224,0.348,0.14,0.224,0.224,0.86,0.9306666666666663,0.968,0.836,0.0,0.0,0.9481255424791016,0.001078344396519597,0.013578325162666676,0.748583832346824,0.0,0.0,1.0,0.625,1.0,0.625,1.0,1.0,0.3563218390804598,-0.15161472329393216,0.8401826484018264,10.95,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.9,0.016385320709953206,0.17973186620100215,0.0010503679923247015,0.4798807749627422,0.0,1.8982846955037795,0.2110816945302938,0.968944099378882,0.0,0.0,0.0,"{'g3_safe': 225, 'camc_switch': 25, 'g0_aggressive': 20, 'g1_balanced': 5}",0.8129835773810443,1.2109835773810445,1.8349835773810446
smith,camc_rsrc_anchor,1,250,0.6239105764032806,0.188,0.0811802264736907,0.036,0.068,0.008,0.14,0.2,0.076,0.14,0.14,0.924,0.948,0.96,0.892,0.0,0.0,0.9964437300221127,0.0014039484249926367,0.013940987441720998,0.7762488709539536,0.0,0.0,1.0,0.5428571428571428,1.0,0.5428571428571428,1.0,0.8235294117647058,0.28,-0.1416625046013106,0.8111587982832618,16.642857142857142,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.056,0.944,0.007199596988689208,0.1596124312602402,0.00046667782564835777,0.5290423861852434,0.0,1.9158609683341359,0.11687147270796322,0.9851632047477745,0.0,0.0,0.0,"{'camc_switch': 14, 'g0_aggressive': 10, 'g3_safe': 236, 'g2_conservative': 1, 'g1_balanced': 3}",0.8539105764032806,1.3049105764032807,2.0219105764032808
smith,camc_sempc_candidate,0,250,0.6109835773810444,0.264,0.06882074317177907,0.024,0.124,0.012,0.224,0.348,0.14,0.224,0.224,0.86,0.9306666666666663,0.968,0.836,0.0,0.0,0.9481255424791016,0.001078344396519597,0.013578325162666676,0.748583832346824,0.0,0.0,1.0,0.625,1.0,0.625,1.0,1.0,0.3563218390804598,-0.15161472329393216,0.8401826484018264,10.95,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.9,0.016385320709953206,0.17973186620100215,0.0010503679923247015,0.4798807749627422,0.0,1.8982846955037795,0.2110816945302938,0.968944099378882,0.0,0.0,0.0,"{'g3_safe': 225, 'camc_switch': 25, 'g0_aggressive': 20, 'g1_balanced': 5}",0.8129835773810443,1.2109835773810445,1.8349835773810446
smith,camc_sempc_candidate,1,250,0.6239105764032806,0.188,0.0811802264736907,0.036,0.068,0.008,0.14,0.2,0.076,0.14,0.14,0.924,0.948,0.96,0.892,0.0,0.0,0.9964437300221127,0.0014039484249926367,0.013940987441720998,0.7762488709539536,0.0,0.0,1.0,0.5428571428571428,1.0,0.5428571428571428,1.0,0.8235294117647058,0.28,-0.1416625046013106,0.8111587982832618,16.642857142857142,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.056,0.944,0.007199596988689208,0.1596124312602402,0.00046667782564835777,0.5290423861852434,0.0,1.9158609683341359,0.11687147270796322,0.9851632047477745,0.0,0.0,0.0,"{'camc_switch': 14, 'g0_aggressive': 10, 'g3_safe': 236, 'g2_conservative': 1, 'g1_balanced': 3}",0.8539105764032806,1.3049105764032807,2.0219105764032808
smith,pareto_camc_static_anchor,0,250,0.6159111168055936,0.276,0.06857689463371686,0.024,0.148,0.012,0.228,0.332,0.148,0.228,0.228,0.852,0.9559999999999995,0.976,0.896,0.0,0.0,0.9491781542718838,0.0010787207177735117,0.0072373352960000015,0.7442790868917222,0.0,0.0,1.0,0.6491228070175439,1.0,0.6491228070175439,1.0,1.0,0.4457831325301205,-0.14835154496342753,0.8450704225352113,10.142857142857142,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.02068002699306122,0.0,-0.06276945880323039,0.11347517730496454,0.0,1.8955432166825905,0.2606379375690285,0.0,0.78125,0.0,0.21875,{'g3_safe': 250},0.8149111168055936,1.2069111168055935,1.8219111168055935
smith,pareto_camc_static_anchor,1,250,0.6267591520674731,0.192,0.08047945319685104,0.036,0.08,0.008,0.14,0.204,0.08,0.14,0.14,0.92,0.9626666666666667,0.972,0.916,0.0,0.0,0.9983473058820945,0.0013787837572522262,0.0072564827466390786,0.7747132631627226,0.0,0.0,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.8,0.3137254901960784,-0.1411865879848755,0.808695652173913,16.428571428571427,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.011866618581552257,0.0,-0.12631246742267924,0.05660377358490566,0.0,1.914537016877682,0.1425948425814765,0.0,1.0,0.0,0.0,{'g3_safe': 250},0.8557591520674732,1.304759152067473,2.0187591520674735
smith,pareto_camc_rsrc_anchor,0,250,0.6160965124003868,0.276,0.0685984989560616,0.024,0.136,0.012,0.22,0.316,0.136,0.22,0.22,0.864,0.9586666666666662,0.98,0.9,0.0,0.0,0.9512802845047841,0.0010787207626914495,0.006347628629333334,0.7442796434151622,0.0,0.0,1.0,0.6181818181818182,1.0,0.6181818181818182,1.0,1.0,0.43037974683544306,-0.15055001057293482,0.8472222222222222,10.8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008,0.992,-0.017980657685959224,0.01487482959595876,-0.025428743672932977,0.6233183856502242,0.0,1.895496572364683,0.23678107692276465,0.7577937649880095,0.19424460431654678,0.03357314148681055,0.014388489208633094,"{'g3_safe': 248, 'camc_switch': 2, 'g0_aggressive': 2}",0.8150965124003868,1.2070965124003867,1.8220965124003867
smith,pareto_camc_rsrc_anchor,1,250,0.6267591520674731,0.192,0.08047945319685104,0.036,0.08,0.008,0.14,0.204,0.08,0.14,0.14,0.92,0.9626666666666667,0.972,0.916,0.0,0.0,0.9983473058820945,0.0013787837572522262,0.0072564827466390786,0.7747132631627226,0.0,0.0,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.8,0.3137254901960784,-0.1411865879848755,0.808695652173913,16.428571428571427,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.011866618581552257,0.0,-0.025237027095935952,0.6130030959752322,0.0,1.914537016877682,0.1425948425814765,0.8560606060606061,0.13383838383838384,0.010101010101010102,0.0,{'g3_safe': 250},0.8557591520674732,1.304759152067473,2.0187591520674735
smith,pareto_camc_sempc_candidate,0,250,0.6160965124003868,0.276,0.0685984989560616,0.024,0.136,0.012,0.22,0.316,0.136,0.22,0.22,0.864,0.9586666666666662,0.98,0.9,0.0,0.0,0.9512802845047841,0.0010787207626914495,0.006347628629333334,0.7442796434151622,0.0,0.0,1.0,0.6181818181818182,1.0,0.6181818181818182,1.0,1.0,0.43037974683544306,-0.15055001057293482,0.8472222222222222,10.8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008,0.992,-0.017980657685959224,0.01487482959595876,-0.025428743672932977,0.6233183856502242,0.0,1.895496572364683,0.23678107692276465,0.7577937649880095,0.19424460431654678,0.03357314148681055,0.014388489208633094,"{'g3_safe': 248, 'camc_switch': 2, 'g0_aggressive': 2}",0.8150965124003868,1.2070965124003867,1.8220965124003867
smith,pareto_camc_sempc_candidate,1,250,0.6267591520674731,0.192,0.08047945319685104,0.036,0.08,0.008,0.14,0.204,0.08,0.14,0.14,0.92,0.9626666666666667,0.972,0.916,0.0,0.0,0.9983473058820945,0.0013787837572522262,0.0072564827466390786,0.7747132631627226,0.0,0.0,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.8,0.3137254901960784,-0.1411865879848755,0.808695652173913,16.428571428571427,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.011866618581552257,0.0,-0.025237027095935952,0.6130030959752322,0.0,1.914537016877682,0.1425948425814765,0.8560606060606061,0.13383838383838384,0.010101010101010102,0.0,{'g3_safe': 250},0.8557591520674732,1.304759152067473,2.0187591520674735
