dataset,controller,epsilon_s,load_threshold,rows,mean_drift,mean_drift_ci_low,mean_drift_ci_high,negative_drift_rate,negative_drift_rate_ci_low,negative_drift_rate_ci_high,mean_delta_sq,mean_delta_sq_ci_low,mean_delta_sq_ci_high,negative_delta_sq_rate,negative_delta_sq_rate_ci_low,negative_delta_sq_rate_ci_high,mean_certified_headroom,mean_exact_headroom
smith,camc_static_anchor,0.0,0.35,29,-0.24546278766315932,-0.260743530308164,-0.22939930377280585,1.0,1.0,1.0,-0.1882215529773272,-0.21693436431581012,-0.16407417970617125,1.0,1.0,1.0,0.06454718507168578,0.1591850432869058
smith,camc_static_anchor,0.0,0.5,13,-0.24363464911413327,-0.2678010107949712,-0.2132961028907248,1.0,1.0,1.0,-0.250867655279731,-0.29795697622279316,-0.20998954878023793,1.0,1.0,1.0,0.05178978890475186,0.1507571541798502
smith,camc_static_anchor,0.0,1.0,0,,,,,,,,,,,,,,
smith,camc_static_anchor,0.03,0.35,22,-0.2531331627816717,-0.2678093429521058,-0.23695253809408676,1.0,1.0,1.0,-0.1787380108967073,-0.20991296255350209,-0.15405989038205056,1.0,1.0,1.0,0.0816110707571982,0.1702420257721036
smith,camc_static_anchor,0.03,0.5,8,-0.2612619909329199,-0.2833284061690375,-0.2321517028611385,1.0,1.0,1.0,-0.2509980660377952,-0.2829169903645725,-0.21682288770821054,1.0,1.0,1.0,0.0785370247456078,0.17132516942276316
smith,camc_static_anchor,0.03,1.0,0,,,,,,,,,,,,,,
smith,camc_static_anchor,0.08,0.35,8,-0.26636711278107283,-0.2884658862468935,-0.23726954551248144,1.0,1.0,1.0,-0.17677705310992672,-0.2198182396737373,-0.13891592911420328,1.0,1.0,1.0,0.1138409985206881,0.19454493998510752
smith,camc_static_anchor,0.08,0.5,3,-0.23981460593599657,-0.2757736617853514,-0.1701153796386694,1.0,1.0,1.0,-0.23153905454523757,-0.3177142072361804,-0.16931688988901697,1.0,1.0,1.0,0.09186311804712606,0.17673643442797607
smith,camc_static_anchor,0.08,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_rsrc_anchor,0.0,0.35,29,-0.24545480718669518,-0.2607390112329762,-0.229392092609858,1.0,1.0,1.0,-0.18822398611456645,-0.2169306032426835,-0.16407073199412756,1.0,1.0,1.0,0.0645435345598163,0.15918141016824955
smith,pareto_camc_rsrc_anchor,0.0,0.5,13,-0.2436245100111609,-0.2678010072878634,-0.21328772479571742,1.0,1.0,1.0,-0.25086552065741025,-0.29795072436195413,-0.20998313620239478,1.0,1.0,1.0,0.051786329522485554,0.15075371834128665
smith,pareto_camc_rsrc_anchor,0.0,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_rsrc_anchor,0.03,0.35,22,-0.25312863383136913,-0.26780934183163757,-0.2369524238155362,1.0,1.0,1.0,-0.17874248118984268,-0.2099173223508032,-0.154064250350536,1.0,1.0,1.0,0.0816083022044817,0.17023926624779903
