dataset,comparison,controller_a,controller_b,metric,a_minus_b,ci_low,ci_high
smith,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,avg_return_time_to_safe,0.07499999999999929,0.0,0.14999999999999858
smith,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,camc_activation_rate,0.078,0.056,0.1
smith,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,camc_post_switch_violation_rate,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,discounted_cost,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,safety_augmented_cost_medium,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,success_rate,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,overload_rate,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,verification_rate,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,fallback_rate,0.886,0.852,0.92
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,safe_set_nonempty_rate,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,avg_return_time_to_safe,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,camc_activation_rate,0.0,0.0,0.0
smith,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,discounted_cost,-0.0005767139150528733,-0.0006045576756644744,-0.0005488701544412722
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,safety_augmented_cost_medium,-0.0005767139150529843,-0.0006045576756645854,-0.0005488701544413832
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,success_rate,0.0,0.0,0.0
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,overload_rate,0.0,0.0,0.0
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,verification_rate,0.001333333333333353,0.0,0.002666666666666706
