dataset,controller,seed,step,reference_shift,certified_margin,certified_slack,anchor_value,candidate_value,delta_loss,delta_benefit,delta_violation,gate_tau,activated,anchor_preserved,post_switch_violation,rejected_candidates,reject_safety,reject_loss,reject_benefit,reject_violation,candidate_count,safe_nonempty,fallback,L_before,drift,success,slack_quantile,shift_bucket
verified,camc_static_anchor,0,10,0.11279498249793252,-0.2931199144470614,0.03772790406355456,1.7587579455888689,1.6455569517124862,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.39680656692327326,0.0,Q4,low
verified,camc_static_anchor,0,11,0.11279498249793252,-0.40461424148243796,0.019197126370451567,1.7744103122077675,1.7744103122077675,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.4134884455058654,1.0,Q4,low
verified,camc_static_anchor,0,12,0.11279498249793252,-0.07062110861149895,0.05071755341532645,1.7101273935699612,1.377912382780417,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4569521621758239,1.0,Q5,low
verified,camc_static_anchor,0,13,0.11279498249793252,-0.28808784011385846,0.034921065808833335,1.7547965082007424,1.6417941702860832,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.39922653887422,0.0,Q4,low
verified,camc_static_anchor,0,14,0.11279498249793252,,0.026205692622322738,1.7769711976951734,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.37002274340537583,0.0,Q4,low
verified,camc_static_anchor,0,15,0.11279498249793252,,-0.01060717722788411,1.8082790573182657,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3382073483202379,0.0,Q3,low
verified,camc_static_anchor,0,16,0.11279498249793252,,-0.05785920840972081,1.7965316366605488,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3625142440749969,0.0,Q2,low
verified,camc_static_anchor,0,17,0.11279498249793252,,-0.047706034129614716,1.7728468998082227,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3930338074982019,0.0,Q2,low
verified,camc_static_anchor,0,18,0.11279498249793252,,-0.03286468393209552,1.7956682494852367,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.34289946902199403,1.0,Q3,low
verified,camc_static_anchor,0,19,0.11279498249793252,-0.0690468922859293,0.033579600486994376,1.7648847279762447,1.441377036325495,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.39470704747035124,0.0,Q4,low
verified,camc_static_anchor,0,20,0.11279498249793252,,-0.0043418042936767265,1.833888110044499,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3234236030707656,0.0,Q3,low
verified,camc_static_anchor,0,21,0.11279498249793252,,-0.03798936153589383,1.827935806037267,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3004186441327588,1.0,Q2,low
verified,camc_static_anchor,0,22,0.11279498249793252,-0.2796726979353463,0.04128155312973382,1.780799318698324,1.6715823729039923,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3573540328505477,0.0,Q4,low
verified,camc_static_anchor,0,23,0.11279498249793252,-0.05812669630376832,0.042241641272405483,1.6524708714337468,1.322764339500625,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4105404865972427,1.0,Q4,low
verified,camc_static_anchor,0,24,0.11279498249793252,-0.16484920163429834,0.034611923367041636,1.7802145212736622,1.558527751313895,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3708236473245798,0.0,Q4,low
verified,camc_static_anchor,0,25,0.11279498249793252,-0.3855516675911511,0.02594431965951316,1.7923677381568053,1.7923677381568053,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.3004592472919025,0.0,Q4,low
